Filename,Birth,Death,Publish,ActivityYear,SUM,傳記類_%,公車類_%,公車類_%,哀祭類_%,序跋類_%,書簡類_%,詩類_%,雜著類_%
503. 관양집(冠陽集).xml,1690,1748,,1719,388,3.0927835051546393,13.917525773195877,0.0,3.608247422680412,1.5463917525773196,5.670103092783505,67.78350515463917,4.381443298969072
401. 문정공유고(文貞公遺稿).xml,1630,1687,,1658,1003,0.0,18.843469591226324,0.0,7.876370887337986,0.0,58.32502492522432,14.356929212362912,0.5982053838484547
509. 오천집(梧川集).xml,1692,1759,1937,1725,652,4.754601226993866,39.41717791411043,0.0,7.361963190184049,0.7668711656441718,12.576687116564417,19.478527607361965,15.644171779141105
415. 우재집(迂齋集).xml,1639,1685,1741,1662,358,3.35195530726257,8.100558659217876,0.0,5.865921787709497,0.8379888268156425,0.0,73.46368715083798,8.379888268156424
520. 손재집(損齋集).xml,1702,1762,,1732,358,0.0,23.743016759776538,0.0,0.0,0.0,0.0,76.25698324022346,0.0
411. 성재유고(醒齋遺稿).xml,1634,1697,,1665,1276,0.07836990595611285,12.931034482758621,0.0,1.9592476489028214,1.7241379310344827,0.9404388714733543,82.13166144200626,0.23510971786833856
497. 제산집(霽山集).xml,1684,1747,1860,1715,508,4.52755905511811,5.511811023622047,0.0,9.05511811023622,3.346456692913386,32.28346456692913,41.732283464566926,3.543307086614173
403. 항재집(恒齋集).xml,1631,1698,1808,1664,140,20.0,0.0,0.0,3.571428571428571,2.142857142857143,27.142857142857142,38.57142857142858,8.571428571428571
508. 지수재집(知守齋集).xml,1691,1767,1878,1729,437,20.823798627002287,31.35011441647597,0.0,7.322654462242563,6.864988558352403,13.501144164759726,19.450800915331808,0.6864988558352403
402. 제월당집(霽月堂集).xml,1630,1709,1819,1669,483,2.484472049689441,11.801242236024844,0.0,2.898550724637681,0.6211180124223602,0.0,81.15942028985508,1.0351966873706004
518. 삼산집(三山集).xml,1702,1761,1863,1731,201,3.9800995024875623,13.930348258706468,0.0,11.940298507462686,2.9850746268656714,33.33333333333333,27.860696517412936,5.970149253731343
414. 졸수재집(拙修齋集).xml,1638,1689,1710,1663,366,1.366120218579235,0.0,0.0,4.371584699453552,0.0,24.59016393442623,68.30601092896174,1.366120218579235
400. 명재유고(明齋遺稿).xml,1629,1714,1732,1671,2682,5.29455630126771,5.257270693512305,0.0,3.8404175988068605,1.4914243102162565,60.514541387024614,22.14765100671141,1.45413870246085
