제목,저자,생년,몰년,활동연도,公車類,書簡類,序跋類,詩類,哀祭類,雜著類,傳記類
謙齋文集,鄭翊東,1735,1795,1765,0,6.306306306,4.504504505,73.87387387,10.81081081,2.702702703,1.801801802
韋菴集,李最中,1715,1815,1765,0,3.610108303,1.444043321,81.94945848,4.693140794,0.722021661,7.581227437
南屛集,鄭璞,1734,1796,1765,0,7.954545455,3.787878788,79.16666667,7.954545455,0.757575758,0.378787879
近齋集,朴胤源,1734,1799,1766,0,35.57567917,3.880983182,46.05433376,4.398447607,6.468305304,3.62225097
性潭先生集,宋煥箕,1728,1807,1767,0,29.61373391,13.19742489,23.39055794,3.326180258,5.686695279,24.78540773
信天齋文集,權思潤,1732,1803,1767,0,4.854368932,1.941747573,76.21359223,7.766990291,5.339805825,3.883495146
臨汝齋文集,柳?奎,1730,1808,1769,0,27.27272727,13.90374332,34.75935829,9.090909091,4.545454545,10.42780749
東湖遺集,申宅和,1728,1810,1769,0,24.16666667,0.833333333,67.5,6.666666667,0.833333333,0
雨皐文集,金道行,1728,1812,1770,0,36.07305936,1.826484018,44.74885845,10.95890411,1.369863014,5.02283105
遲菴先生文集,李東沆,1736,1804,1770,0,2.580645161,2.903225806,88.06451613,3.548387097,2.580645161,0.322580645
訥幸齋集,李師稷,1732,1810,1771,0,5.825242718,0.970873786,81.55339806,0,3.883495146,7.766990291
德峰文集,李鎭宅,1738,1805,1771,0,25.46583851,1.863354037,65.83850932,4.347826087,0.621118012,1.863354037
晦屛集,申體仁,1731,1812,1771,0,27.93791574,5.986696231,49.22394678,5.986696231,4.4345898,6.430155211
舊堂先生文集,趙沐洙(虎然),1736,1807,1771,0,25.38461538,3.461538462,48.84615385,13.84615385,2.307692308,6.153846154
燕巖集,朴趾源,1737,1805,1771,0,30.93220339,16.52542373,16.52542373,3.813559322,19.49152542,12.71186441
竹北文集,安仁一,1736,1806,1771,0,17.69436997,4.289544236,70.77747989,4.825737265,2.412868633,0
仁嶽集,李義沾,1746,1796,1771,0,23.7704918,3.278688525,59.83606557,0.819672131,11.47540984,0.819672131
武山齋遺稿,李鳳興,1735,1810,1772,0,21.42857143,4.464285714,56.25,9.821428571,7.142857143,0.892857143
念睡軒文集,金龍翰,1738,1806,1772,0,5.361305361,2.097902098,88.34498834,1.165501166,3.03030303,0
靑城集,成大中,1732,1812,1772,0,1.244167963,9.175738725,75.89424572,3.421461897,7.153965785,3.110419907
玩易堂遺稿,朴馨德,1731,1815,1773,0,1.694915254,15.25423729,69.49152542,7.627118644,5.084745763,0.847457627
錦石集,朴準源,1739,1807,1773,0,8.05785124,1.446280992,83.67768595,1.859504132,3.719008264,1.239669421
磻溪集,李養吾,1737,1811,1774,0,0,0.165562914,99.83443709,0,0,0
耐齋公集,李光朝,1740,1808,1774,0,0,0.617283951,99.38271605,0,0,0
巴山聯芳文集,李光朝,1740,1808,1774,0,0,0.617283951,99.38271605,0,0,0
晩覺齋文集,李東汲,1738,1811,1774,0,11.30434783,8.695652174,68.69565217,4.782608696,2.173913043,4.347826087
芝厓先生文集,鄭?,1740,1811,1775,0,10.30042918,8.154506438,61.80257511,8.583690987,5.150214592,6.008583691
尤園集,李楨國(謙胤),1743,1807,1775,0,25.42372881,1.129943503,59.3220339,11.86440678,1.129943503,1.129943503
